cod_aero,aeropuerto,ciudad,pais,latitud,longitud
SADJ,Mariano Moreno Airport,Jose C. Paz,Argentina ,-34.5606,-58.7896
SADL,La Plata Airport,La Plata,Argentina ,-34.9722,-57.8947
SADM,Moron Airport,Moron,Argentina ,-34.6763,-58.6428
SADP,El Palomar Airport,El Palomar,Argentina ,-34.6099,-58.6126
SAHC,Chos Malal Airport,Chosmadal,Argentina ,-37.44469833,-70.22250366
SAHR,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina ,-39.0007019,-67.62049866
SAME,El Plumerillo Airport,Mendoza,Argentina ,-32.83169937,-68.79290009
SAMM,Comodoro D.R. Salomón Airport,Malargue,Argentina ,-35.49359894,-69.57430267
SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina ,-34.588299,-68.4039
SANC,Catamarca Airport,Catamarca,Argentina ,-28.59560013,-65.75170136
SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina ,-27.76555634,-64.30999756
SANI,Tinogasta Airport,Tinogasta,Argentina ,-28.03779984,-67.58029938
SANL,Capitan V A Almonacid Airport,La Rioja,Argentina ,-29.38159943,-66.79579926
SANO,Chilecito Airport,Chilecito,Argentina ,-29.22389984,-67.43890381
SANT,Teniente Benjamin Matienzo Airport,Tucuman,Argentina ,-26.8409,-65.104897
SANU,Domingo Faustino Sarmiento Airport,San Juan,Argentina ,-31.571501,-68.418198
SAOC,Area De Material Airport,Rio Cuarto,Argentina ,-33.08509827,-64.26129913
SAOD,Villa Dolores Airport,Villa Dolores,Argentina ,-31.94519997,-65.14630127
SAOL,La Quiaca Airport,Laboulaye,Argentina ,-22.15060043,-65.57749939
SAOM,Marcos Juarez Airport,Marcos Juarez,Argentina ,-32.6836,-62.157801
SAOR,Villa Reynolds Airport,Villa Reynolds,Argentina ,-33.72990036,-65.38739777
SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina ,-33.27320099,-66.35639954
SARC,Corrientes Airport,Corrientes,Argentina ,-27.4455,-58.7619
SARE,Resistencia International Airport,Resistencia,Argentina ,-27.45,-59.0561
SARF,Formosa Airport,Formosa,Argentina ,-26.2127,-58.2281
SARI,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina ,-25.737301,-54.4734
SARL,Paso De Los Libres Airport,Paso De Los Libres,Argentina ,-29.6894,-57.1521
SARM,Monte Caseros Airport,Monte Caseros,Argentina ,-30.2719,-57.6402
SARP,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina ,-27.3858,-55.9707
SARS,Termal Airport,Presidencia R.s.pena,Argentina ,-26.753611,-60.492222
SASA,Martin Miguel De Guemes International Airport,Salta,Argentina ,-24.8560009,-65.48619843
SASJ,Gobernador Horacio Guzman International Airport,Jujuy,Argentina ,-24.392799,-65.097801
SASO,Orán Airport,Oran,Argentina ,-23.15279961,-64.32920074
SASQ,Laboulaye Airport,La Quiaca,Argentina ,-34.13539886,-63.36230087
SATD,El Dorado Airport,El Dorado,Argentina ,-26.39749908,-54.5746994
SATG,Goya Airport,Goya,Argentina ,-29.1058,-59.2189
SATO,Oberá Airport,Obera,Argentina ,-27.51819992,-55.12419891
SATR,Reconquista Airport,Reconquista,Argentina ,-29.2103,-59.68
SATU,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina ,-29.7706,-57.9789
SAVB,El Bolson Airport,El Bolson,Argentina ,-41.94319916,-71.53230286
SAVC,General E. Mosconi Airport,Comodoro Rivadavia,Argentina ,-45.7853,-67.4655
SAVE,Brigadier Antonio Parodi Airport,Esquel,Argentina ,-42.90800095,-71.13950348
SAVT,Almirante Marco Andres Zar Airport,Trelew,Argentina ,-43.2105,-65.2703
SAVV,Gobernador Castello Airport,Viedma,Argentina ,-40.8692,-63.0004
SAVY,El Tehuelche Airport,Puerto Madryn,Argentina ,-42.7592,-65.1027
SAWB,Marambio Base,Marambio Base,Antártida ,-64.23829651,-56.63079834
SAWD,Puerto Deseado Airport,Puerto Deseado,Argentina ,-47.7353,-65.9041
SAWE,Hermes Quijada International Airport,Rio Grande,Argentina ,-53.7777,-67.7494
SAWG,Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina ,-51.6089,-69.3126
SAWH,Malvinas Argentinas Airport,Ushuaia,Argentina ,-54.8433,-68.2958
SAWJ,Capitan D Daniel Vazquez Airport,San Julian,Argentina ,-49.3068,-67.8026
SAWP,Perito Moreno Airport,Perito Moreno,Argentina ,-46.537899,-70.978699
