local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
HDI,Helipuerto,BUENOS AIRES/DINES DR. E. ESCUDERO,-58.400458,-34.572579,6,Salguero y Costanera,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HDL,Helipuerto,JUNÍN DE LOS ANDES/CASA DE LATA,-71.16995,-39.815579,982,Junín de los Andes,PRIVADO,Nacional,NEUQUÉN
HDR,Helipuerto,GRANADERO BAIGORRIA/HOSPITAL R. CARRILLO,-60.709211,-32.851806,37,Granadero Baigorria,PUBLICO,Nacional,SANTA FÉ
HDS,Aeródromo,HENDERSON,-61.74777778,-36.31527778,150,Henderson,PUBLICO,Nacional,BUENOS AIRES
HDT,Helipuerto,DON TORCUATO/TIMEN S.A.,-58.608031,-34.496085,6,Ex Aeródromo Don Torcuato,PUBLICO,Nacional,BUENOS AIRES
HEA,Helipuerto,HELIPLATAFORMA AM6,-68.127778,-52.608333,32,Cabo Vírgenes,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HEC,Helipuerto,LA PLATA/ECODYMA S.C.A.,-57.991881,-34.940786,14,Estación La Plata,PRIVADO,Nacional,BUENOS AIRES
HEN,Helipuerto,BAHÍA SAN SEBASTIÁN/PLANTA CRUZ DEL SUR,-68.266107,-53.32299,53,Río Grande,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HES,Helipuerto,ARIES/TOTAL FINA,-68.041944,-52.683056,0,,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HET,Helipuerto,SANTIAGO DEL ESTERO/HELIPUERTO EDIFICIO TRIBUNALES,-64.265127,-27.781396,195,Av. H. Yrigoyen entre Av. Alvear y Chacabuco,PRIVADO,Nacional,SANTIAGO DEL ESTERO
HEV,Helipuerto,ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR,-58.384984,-34.834672,28,Destacamento Policial El Vapor,PUBLICO,Nacional,BUENOS AIRES
HFA,Helipuerto,BUENOS AIRES/FUERZA AÉREA,-58.368051,-34.58598,6,Estación Retiro,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HFC,Helipuerto,SALTA/FINCA LAS COSTAS,-65.495501,-24.770405,1311,Salta,PRIVADO,Nacional,SALTA
HFV,Helipuerto,FLORENCIO VARELA/COLONIA LA CAPILLA,-58.250221,-34.916875,25,Florencio Varela,PUBLICO,Nacional,BUENOS AIRES
HGA,Helipuerto,CAÑUELAS/CAÑUELAS GAS S.A.,-58.788161,-35.058342,30,Cañuelas,PRIVADO,Nacional,BUENOS AIRES
HGB,Helipuerto,SALTA/CENTRO CÍVICO GRAND BOURG,-65.451084,-24.780762,1260,Salta,PRIVADO,Nacional,SALTA
HGM,Helipuerto,GONZALEZ CATÁN/LAR DE PAZ S.A.,-58.658271,-34.776299,15,Estación FFCC Gonzalez Catán,PRIVADO,Nacional,BUENOS AIRES
HGN,Helipuerto,BUENOS AIRES/CENTINELA,-58.374528,-34.582445,13,Ciudad de Buenos Aires,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HGS,Aeródromo,HUGHES/PLUS AGROSERVICIOS AÉREOS,-61.3375,-33.81111111,97,Hughes,PRIVADO,Nacional,SANTA FÉ
HHL,Helipuerto,LAS LAJAS/EA. HAYCHOL,-70.677494,-38.548178,1051,Las Lajas,PRIVADO,Nacional,NEUQUÉN
HHM,Helipuerto,SALTA/HOSPITAL DE MILAGRO,-65.415621,-24.772921,1240,Salta,PRIVADO,Nacional,SALTA
HHT,Helipuerto,DON TORCUATO/TECNOCOPTER S.A.,-58.606915,-34.492668,20,Ex Aeródromo Don Torcuato,PUBLICO,Nacional,BUENOS AIRES
HHW,Helipuerto,MORENO/HELIWEST,-58.751782,-34.634199,21.5,Moreno,PRIVADO,Nacional,BUENOS AIRES
HIL,Helipuerto,GRAL. VILLEGAS/SAN ISIDRO LABRADOR II,-63.079953,-35.081749,115,General Villegas,PRIVADO,Nacional,BUENOS AIRES
HIS,Helipuerto,LA MATANZA/CAMPANÓPOLIS,-58.601878,-34.791733,6,Aeropuerto Ezeiza / Ministro Pistarini,PRIVADO,Nacional,BUENOS AIRES
HIT,Helipuerto,ITUZAINGÓ/TRANSENER,-56.658294,-27.558575,71,Ituzaingó,PRIVADO,Nacional,CORRIENTES
HJN,Helipuerto,JUNÍN DE LOS ANDES/EA. PALITUE,-71.046426,-39.852774,859,Junín de los Andes,PRIVADO,Nacional,NEUQUÉN
HLE,Helipuerto,LAGO ESCONDIDO/HIDDEN LAKE S.A.,-71.607697,-41.70337,830,El Bolsón,PRIVADO,Nacional,RÍO NEGRO
HLF,Helipuerto,CAPILLA DEL SEÑOR/LOS FRESNOS,-59.118616,-34.2816,34,Capilla del Señor,PRIVADO,Nacional,BUENOS AIRES
HLH,Helipuerto,LUJÁN/HOMAQ,-59.045919,-34.557353,24,Luján,PRIVADO,Nacional,BUENOS AIRES
HLI,Helipuerto,DON TORCUATO/HELICENTER,-58.606884,-34.497531,3.87,Ex Aeródromo Don Torcuato,PRIVADO,Nacional,BUENOS AIRES
HLL,Helipuerto,SAN CARLOS DE BARILOCHE/COMPLEJO LLAO LLAO,-71.533825,-41.054659,775,San Carlos de Bariloche,PRIVADO,Nacional,RÍO NEGRO
HLP,Helipuerto,LA PLATA/HELIPUERTO D.P.A.O.,-57.893075,-34.959802,19,Extremo W del aeródromo,PUBLICO,Nacional,BUENOS AIRES
HLR,Helipuerto,LOS CARDALES/LA RESERVA,-58.900427,-34.270449,6,Los Cardales,PRIVADO,Nacional,BUENOS AIRES
HLS,Helipuerto,OPEN DOOR/LA SUPERBA,-59.015184,-34.500721,0,,PRIVADO,Nacional,BUENOS AIRES
HLT,Helipuerto,VILLA ROSA/LAS CHACRITAS,-58.863589,-34.404632,19.66,Villa Rosa,PRIVADO,Nacional,BUENOS AIRES
HLU,Helipuerto,LUJÁN/TRANSENER S.A.,-66.066423,-32.366669,600,Luján,PRIVADO,Nacional,SAN LUIS
HMA,Helipuerto,HUDSON/MANUEL AFONSO,-58.195412,-34.815509,11,,PUBLICO,Nacional,BUENOS AIRES
HMC,Helipuerto,GARÍN/MIRAFLORES COUNTRY CLUB,-58.734061,-34.445915,21,Garin,PRIVADO,Nacional,BUENOS AIRES
HMD,Helipuerto,BUENOS AIRES/HELIPUERTO SWISS MEDICAL,-58.429528,-34.581053,59,Juan B. Justo 909,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HME,Helipuerto,PILAR/MEMORIAL,-58.836706,-34.444449,19,Ruta Panamericana Km. 46,PRIVADO,Nacional,BUENOS AIRES
HMF,Helipuerto,LA MATANZA/OFICIAL SUBINSPECTOR GUSTAVO SOAREZ DE SOUZA,-58.514923,-34.723585,43,Ruta 4 y Autopista Richieri,PRIVADO,Nacional,BUENOS AIRES
HMG,Helipuerto,BUENOS AIRES / MADERO HARBOUR,-58.36092778,-34.62097778,78.8,Edificio T5 - Complejo Madero Harbour,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HMH,Helipuerto,SAN FERNANDO/PARANÁ MINÍ,-58.510795,-34.171041,5,Río Paraná Miní,PRIVADO,Nacional,BUENOS AIRES
HMM,Helipuerto,DR. MARIANO MORENO,-58.790569,-34.562908,32,José C. Paz,PRIVADO,Nacional,BUENOS AIRES
HMQ,Helipuerto,HELIPLATAFORMA AM5,-68.253333,-52.570556,30,Estrecho de Magallanes,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HMT,Helipuerto,MONTE CRISTO/TRANSENER S.A.,-63.913851,-31.3392,330,Monte Cristo,PRIVADO,Nacional,CÓRDOBA
HMY,Helipuerto,LA MATANZA/TERMINAL Y.P.F.,-58.557711,-34.731886,10,Ruta Prov. 21 y Av. Cristianía,PRIVADO,Nacional,BUENOS AIRES
HNB,Helipuerto,TIGRE/NORDELTA,-58.642147,-34.439639,5,Tigre,PRIVADO,Nacional,BUENOS AIRES
HNE,Helipuerto,VILLA NUEVA/DAYRY PARTNERS AMERICAS MANUFACTURING ARGENTINA S.A,-63.22409,-32.437713,195,Villa Nueva,PRIVADO,Nacional,CÓRDOBA
HNH,Helipuerto,HELIPLATAFORMA NOBLE HOUSTON COLBERT,-67.220278,-53.098333,63.5,Cuenca Marina Austral I Aguas Juridiccionales Argentinas,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HNO,Helipuerto,HELIPLATAFORMA/RÍO CULLEN-HIDRANORT,-68.219167,-52.820556,20,,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HNP,Helipuerto,BUENOS AIRES/HOSPITAL NACIONAL DE PEDIATRÍA PROF. JUAN GARRAHAM,-58.393835,-34.63098,39,Av. Juan de Garay y Pichincha,PUBLICO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HOB,Helipuerto,ALTA GRACIA/ORESTE BERTA,-64.397768,-31.633061,570,Alta Gracia,PRIVADO,Nacional,CÓRDOBA
HOC,Helipuerto,HELIPLATAFORMA OCEANIC CHAMPION,-66.41666667,-52.83333333,20,Río Grande,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HOS,Helipuerto,HELIPLATAFORMA MÓVIL OCEAN SCEPTER,-67.433333,-46.466667,154,Golfo San Jorge,PRIVADO,Nacional,SANTA CRUZ
HPA,Helipuerto,BUENOS AIRES/PRESIDENCIA DE LA NACIÓN,-58.368322,-34.606433,8,Av Madero,,,
HPC,Helipuerto,CÓRDOBA/POLICIA PROVINCIA DE CÓRDOBA,-64.199434,-31.40821,393,Córdoba,PUBLICO,Nacional,CÓRDOBA
HPD,Helipuerto,MENDOZA/POLICIA DE LA PROVINCIA DE MENDOZA,-68.867744,-32.878387,807,Aeropuerto de Mendoza,PRIVADO,Nacional,MENDOZA
HPE,Helipuerto,PARANÁ/HOSPITAL MATERNO INFANTIL SAN ROQUE,-60.521265,-31.730027,81,Paraná,PUBLICO,Nacional,ENTRE RÍOS
HPG,Helipuerto,PIEDRA DEL ÁGUILA/TRANSENER S.A.,-70.042408,-40.161297,702,Piedra del Águila,PRIVADO,Nacional,NEUQUÉN
HPI,Helipuerto,PILAR GOLF/PIERO VARA,-58.972486,-34.433128,12,Pilar,PRIVADO,Nacional,BUENOS AIRES
HPL,Helipuerto,LA RIOJA/HELIPUERTO POLICIA PROVINCIAL C.A.P.E.,-66.863203,-29.435592,520,La Rioja,PRIVADO,Nacional,LA RIOJA
HPM,Helipuerto,LA PLATA/POLICLÍNICO SAN MARTÍN,-57.921928,-34.924584,21,Av. 1 y Calle 71,PUBLICO,Nacional,BUENOS AIRES
HPN,Helipuerto,BUENOS AIRES/P.N.A. OF. PPAL. BALLESTRA,-58.383829,-34.577207,6,Junín y Rafael Obligado (Dársena F),PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HPO,Helipuerto,PUERTO ESPERANZA,-54.638298,-25.99034,155,Esperanza,PRIVADO,Nacional,MISIONES
HPS,Helipuerto,PACHÓN/HELIPUERTO PACHÓN MINERA S.A.,-70.41209,-31.760056,3600,Pachón,PRIVADO,Nacional,SAN JUAN
HPT,Helipuerto,SAN MARTÍN/COOPERATIVA DE TRABAJOS PORTUARIOS LIMITADA,-60.72647778,-32.71917778,9,Puerto General San Martín,PRIVADO,Nacional,SANTA FÉ
HPU,Helipuerto,PUELCHES/TRANSENER S.A.,-65.824946,-38.147703,229,Puelches,PRIVADO,Nacional,LA PAMPA
HRC,Helipuerto,CARMEN DE ARECO/SAN JOAQUÍN,-59.721463,-34.338474,42,Carmen de Areco,PRIVADO,Nacional,BUENOS AIRES
HRE,Helipuerto,RECREO/TRANSENER S.A.,-65.058247,-29.262769,247,Recreo,PRIVADO,Nacional,CATAMARCA
